feature,feature_status,canonical_feature,tp_item
F-BIT-001,ACTIVE,F-BIT-001,TP-BIT-001
F-BIT-001,ACTIVE,F-BIT-001,TP-BIT-041
F-BIT-001,ACTIVE,F-BIT-001,TP-REG-015
F-BIT-002,ACTIVE,F-BIT-002,TP-BIT-002
F-BIT-002,ACTIVE,F-BIT-002,TP-BIT-041
F-BIT-003,ACTIVE,F-BIT-003,TP-BIT-003
F-BIT-004,ACTIVE,F-BIT-004,TP-BIT-004
F-BIT-004,ACTIVE,F-BIT-004,TP-BIT-041
F-BIT-005,ACTIVE,F-BIT-005,TP-ADOPT-006
F-BIT-005,ACTIVE,F-BIT-005,TP-BIT-005
F-BIT-005,ACTIVE,F-BIT-005,TP-BIT-041
F-BIT-006,ACTIVE,F-BIT-006,TP-ADOPT-006
F-BIT-006,ACTIVE,F-BIT-006,TP-BIT-006
F-BIT-007,ACTIVE,F-BIT-007,TP-BIT-007
F-BIT-007,ACTIVE,F-BIT-007,TP-BIT-041
F-BIT-008,ACTIVE,F-BIT-008,TP-BIT-008
F-BIT-009,ACTIVE,F-BIT-009,TP-BIT-009
F-BIT-009,ACTIVE,F-BIT-009,TP-BIT-041
F-BIT-010,ACTIVE,F-BIT-010,TP-BIT-010
F-BIT-010,ACTIVE,F-BIT-010,TP-BIT-041
F-BIT-011,ACTIVE,F-BIT-011,TP-BIT-011
F-BIT-011,ACTIVE,F-BIT-011,TP-BIT-041
F-BIT-012,ACTIVE,F-BIT-012,TP-BIT-012
F-BIT-012,ACTIVE,F-BIT-012,TP-BIT-041
F-BIT-012,ACTIVE,F-BIT-012,TP-BIT-042
F-BIT-013,ACTIVE,F-BIT-013,TP-BIT-013
F-BIT-014,ACTIVE,F-BIT-014,TP-BIT-014
F-BIT-014,ACTIVE,F-BIT-014,TP-BIT-041
F-BIT-015,ACTIVE,F-BIT-015,TP-BIT-015
F-BIT-015,ACTIVE,F-BIT-015,TP-BIT-041
F-BIT-016,ACTIVE,F-BIT-016,TP-BIT-016
F-BIT-016,ACTIVE,F-BIT-016,TP-BIT-041
F-BIT-017,ACTIVE,F-BIT-017,TP-BIT-017
F-BIT-017,ACTIVE,F-BIT-017,TP-BIT-041
F-BIT-018,ACTIVE,F-BIT-018,TP-BIT-018
F-BIT-018,ACTIVE,F-BIT-018,TP-BIT-041
F-BIT-019,ACTIVE,F-BIT-019,TP-BIT-019
F-BIT-020,ACTIVE,F-BIT-020,TP-BIT-020
F-BIT-020,ACTIVE,F-BIT-020,TP-BIT-041
F-BIT-021,ACTIVE,F-BIT-021,TP-BIT-021
F-BIT-022,ACTIVE,F-BIT-022,TP-BIT-022
F-BIT-022,ACTIVE,F-BIT-022,TP-BIT-041
F-BIT-023,ACTIVE,F-BIT-023,TP-BIT-023
F-BIT-024,ACTIVE,F-BIT-024,TP-BIT-024
F-BIT-024,ACTIVE,F-BIT-024,TP-BIT-041
F-BIT-025,ACTIVE,F-BIT-025,TP-BIT-025
F-BIT-025,ACTIVE,F-BIT-025,TP-BIT-041
F-BIT-026,ACTIVE,F-BIT-026,TP-BIT-026
F-BIT-027,ACTIVE,F-BIT-027,TP-BIT-027
F-BIT-027,ACTIVE,F-BIT-027,TP-BIT-041
F-BIT-027,ACTIVE,F-BIT-027,TP-BIT-042
F-BIT-028,ACTIVE,F-BIT-028,TP-BIT-028
F-BIT-028,ACTIVE,F-BIT-028,TP-BIT-041
F-BIT-028,ACTIVE,F-BIT-028,TP-BIT-042
F-BIT-029,ACTIVE,F-BIT-029,TP-BIT-029
F-BIT-030,ACTIVE,F-BIT-030,TP-BIT-030
F-BIT-030,ACTIVE,F-BIT-030,TP-BIT-041
F-BIT-031,ACTIVE,F-BIT-031,TP-BIT-031
F-BIT-032,ACTIVE,F-BIT-032,TP-BIT-032
F-BIT-032,ACTIVE,F-BIT-032,TP-BIT-041
F-BIT-032,ACTIVE,F-BIT-032,TP-BIT-042
F-BIT-033,ACTIVE,F-BIT-033,TP-BIT-033
F-BIT-034,FOLDED,F-BIT-001,TP-BIT-034
F-BIT-035,FOLDED,F-BIT-001,TP-BIT-035
F-BIT-036,ALIAS,F-MUL-023,TP-BIT-036
F-BIT-036,ALIAS,F-MUL-023,TP-BIT-042
F-BIT-037,ACTIVE,F-BIT-037,TP-BIT-037
F-BIT-038,ACTIVE,F-BIT-038,TP-BIT-038
F-BIT-038,ACTIVE,F-BIT-038,TP-BIT-041
F-BIT-039,ACTIVE,F-BIT-039,TP-ADOPT-001
F-BIT-039,ACTIVE,F-BIT-039,TP-BIT-039
F-BIT-039,ACTIVE,F-BIT-039,TP-BIT-042
F-BIT-040,ALIAS,F-CSR-021,TP-BIT-040
F-BIT-041,ACTIVE,F-BIT-041,TP-BIT-043
F-BTALU-001,ACTIVE,F-BTALU-001,TP-ADOPT-002
F-BTALU-001,ACTIVE,F-BTALU-001,TP-BTALU-001
F-BTALU-001,ACTIVE,F-BTALU-001,TP-BTALU-017
F-BTALU-002,ACTIVE,F-BTALU-002,TP-BTALU-002
F-BTALU-002,ACTIVE,F-BTALU-002,TP-BTALU-017
F-BTALU-003,ACTIVE,F-BTALU-003,TP-ADOPT-004
F-BTALU-003,ACTIVE,F-BTALU-003,TP-BTALU-003
F-BTALU-003,ACTIVE,F-BTALU-003,TP-BTALU-017
F-BTALU-004,FOLDED,F-BTALU-002,TP-BTALU-004
F-BTALU-005,FOLDED,F-BTALU-001,TP-ADOPT-002
F-BTALU-005,FOLDED,F-BTALU-001,TP-BTALU-005
F-BTALU-005,FOLDED,F-BTALU-001,TP-BTALU-017
F-BTALU-006,ALIAS,F-DIT-002,TP-BTALU-006
F-BTALU-006,ALIAS,F-DIT-002,TP-BTALU-016
F-BTALU-007,FOLDED,F-BTALU-003,TP-BTALU-007
F-BTALU-007,FOLDED,F-BTALU-003,TP-BTALU-017
F-BTALU-008,ACTIVE,F-BTALU-008,TP-BTALU-008
F-BTALU-009,FOLDED,F-BTALU-001,TP-BTALU-009
F-BTALU-009,FOLDED,F-BTALU-001,TP-BTALU-017
