tp_item,covergroup,coverpoint,bin,adopted
TP-ADOPT-001,CG-ADOPT-001,cp_gpr_hazard,no_hazard,1
TP-ADOPT-001,CG-ADOPT-001,cp_gpr_hazard,raw,1
TP-ADOPT-001,CG-ADOPT-001,cp_gpr_hazard,war,1
TP-ADOPT-001,CG-ADOPT-001,cp_gpr_hazard,waw,1
TP-ADOPT-001,CG-ADOPT-001,cp_lsu_hazard,no_hazard,1
TP-ADOPT-001,CG-ADOPT-001,cp_lsu_hazard,raw,1
TP-ADOPT-001,CG-ADOPT-001,cp_lsu_hazard,war,1
TP-ADOPT-001,CG-ADOPT-001,cp_lsu_hazard,waw,1
TP-ADOPT-002,CG-ADOPT-002,cp_branch_history,all_not_taken,1
TP-ADOPT-002,CG-ADOPT-002,cp_branch_history,all_taken,1
TP-ADOPT-002,CG-ADOPT-002,cp_branch_history,alt_01010,1
TP-ADOPT-002,CG-ADOPT-002,cp_branch_history,alt_10101,1
TP-ADOPT-002,CG-ADOPT-002,cp_branch_history,other,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,nnn,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,nnp,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,npn,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,npp,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,pnn,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,pnp,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,ppn,1
TP-ADOPT-003,CG-ADOPT-003,cp_addsub_sign,ppp,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,branch_bwd,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,branch_fwd,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,jal_bwd,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,jal_fwd,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,load_imm_neg,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,load_imm_pos,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,store_imm_neg,1
TP-ADOPT-003,CG-ADOPT-003,cp_imm_sign,store_imm_pos,1
TP-ADOPT-003,CG-ADOPT-003,cp_logical_similarity,different,1
TP-ADOPT-003,CG-ADOPT-003,cp_logical_similarity,identical,1
TP-ADOPT-003,CG-ADOPT-003,cp_logical_similarity,opposite,1
TP-ADOPT-003,CG-ADOPT-003,cp_logical_similarity,similar,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,non_link_non_link,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,non_link_ra,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,non_link_t1,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,ra_non_link,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,ra_ra,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,ra_t1,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,t1_non_link,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,t1_ra,1
TP-ADOPT-004,CG-ADOPT-004,cp_ras,t1_t1,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,a0,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,a1,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,a2,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,a3,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,a4,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,a5,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,s0,1
TP-ADOPT-005,CG-ADOPT-005,cp_c_reg_prime,s1,1
TP-ADOPT-006,CG-ADOPT-006,cp_bitcount_result,r0,1
TP-ADOPT-006,CG-ADOPT-006,cp_bitcount_result,r16_23,1
TP-ADOPT-006,CG-ADOPT-006,cp_bitcount_result,r1_7,1
TP-ADOPT-006,CG-ADOPT-006,cp_bitcount_result,r24_31,1
TP-ADOPT-006,CG-ADOPT-006,cp_bitcount_result,r8_15,1
TP-BIT-001,CG-BIT-011,cp_trap,no,0
TP-BIT-001,CG-BIT-011,cr_legal_notrap,auto,0
TP-BIT-002,CG-BIT-001,cp_op,sh1add,0
TP-BIT-002,CG-BIT-001,cp_op,sh2add,0
TP-BIT-002,CG-BIT-001,cp_op,sh3add,0
TP-BIT-002,CG-BIT-001,cr_op_rs1,auto,0
TP-BIT-002,CG-BIT-001,cr_op_rs2,auto,0
TP-BIT-003,CG-BIT-001,cp_rs1_class,all_ones,0
TP-BIT-003,CG-BIT-001,cp_rs1_class,e0000000,0
TP-BIT-003,CG-BIT-001,cr_op_eq,auto,0
TP-BIT-003,CG-BIT-001,cr_op_same,auto,0
TP-BIT-003,CG-BIT-001,cr_shadd_wrap,auto,0
TP-BIT-004,CG-BIT-001,cp_op,andn,0
TP-BIT-004,CG-BIT-001,cp_op,orn,0
TP-BIT-004,CG-BIT-001,cp_op,xnor,0
TP-BIT-004,CG-BIT-001,cp_result_class,all_ones,0
TP-BIT-004,CG-BIT-001,cp_result_class,zero,0
TP-BIT-004,CG-BIT-001,cr_op_rs1,auto,0
TP-BIT-004,CG-BIT-001,cr_op_rs2,auto,0
TP-BIT-005,CG-BIT-002,cp_op,clz,0
TP-BIT-005,CG-BIT-002,cp_op,cpop,0
TP-BIT-005,CG-BIT-002,cp_op,ctz,0
TP-BIT-005,CG-BIT-002,cr_op_operand,auto,0
TP-BIT-006,CG-BIT-002,cp_operand,all_ones,0
TP-BIT-006,CG-BIT-002,cp_operand,zero,0
TP-BIT-006,CG-BIT-002,cp_result,r0,0
TP-BIT-006,CG-BIT-002,cp_result,r31,0
TP-BIT-006,CG-BIT-002,cp_result,r32,0
TP-BIT-006,CG-BIT-002,cr_op_result,auto,0
TP-BIT-006,CG-BIT-002,cr_op_single,auto,0
TP-BIT-007,CG-BIT-001,cp_op,max,0
TP-BIT-007,CG-BIT-001,cp_op,maxu,0
TP-BIT-007,CG-BIT-001,cp_op,min,0
TP-BIT-007,CG-BIT-001,cp_op,minu,0
TP-BIT-007,CG-BIT-001,cr_minmax_sign,auto,0
TP-BIT-008,CG-BIT-001,cp_rs1_class,all_ones,0
TP-BIT-008,CG-BIT-001,cp_rs1_class,int_min,0
TP-BIT-008,CG-BIT-001,cp_rs2_class,int_max,0
TP-BIT-008,CG-BIT-001,cp_rs2_class,one,0
TP-BIT-008,CG-BIT-001,cr_minmax_sign,auto,0
TP-BIT-008,CG-BIT-001,cr_op_eq,auto,0
TP-BIT-009,CG-BIT-001,cp_op,sext_b,0
TP-BIT-009,CG-BIT-001,cp_op,sext_h,0
TP-BIT-009,CG-BIT-001,cp_rs1_class,byte_msb,0
TP-BIT-009,CG-BIT-001,cp_rs1_class,half_msb,0
TP-BIT-009,CG-CMP-005,cp_insn,c_sext_b,0
TP-BIT-009,CG-CMP-005,cp_insn,c_sext_h,0
TP-BIT-010,CG-BIT-001,cp_op,zext_h,0
TP-BIT-010,CG-BIT-001,cr_op_rs1,auto,0
TP-BIT-010,CG-CMP-005,cp_insn,c_zext_h,0
TP-BIT-011,CG-BIT-001,cp_op,pack,0
TP-BIT-011,CG-BIT-001,cp_op,packh,0
TP-BIT-011,CG-BIT-001,cp_op,packu,0
TP-BIT-011,CG-BIT-001,cr_op_rs1,auto,0
TP-BIT-011,CG-BIT-001,cr_op_rs2,auto,0
TP-BIT-011,CG-BIT-001,cr_op_same,auto,0
TP-BIT-012,CG-BIT-003,cp_op,rol,0
TP-BIT-012,CG-BIT-003,cp_op,ror,0
TP-BIT-012,CG-BIT-003,cp_op,rori,0
TP-BIT-012,CG-BIT-003,cr_op_amount,auto,0
TP-BIT-012,CG-BIT-003,cr_rot_delta,rol_d2,0
TP-BIT-012,CG-BIT-003,cr_rot_delta,ror_d2,0
TP-BIT-012,CG-BIT-003,cr_rot_delta,rori_d2,0
TP-BIT-012,CG-BIT-010,cr_class_delta_clean,rot_d2,0
TP-BIT-013,CG-BIT-003,cp_amount,a0,0
TP-BIT-013,CG-BIT-003,cp_amount,a1,0
TP-BIT-013,CG-BIT-003,cp_amount,a31,0
TP-BIT-013,CG-BIT-003,cp_rs2_upper,all_ones,0
TP-BIT-013,CG-BIT-003,cp_rs2_upper,is32,0
TP-BIT-013,CG-BIT-003,cr_reg_upper,auto,0
TP-BIT-013,CG-BIT-011,cp_illegal_class,rori_bit25,0
TP-BIT-013,CG-BIT-011,cr_illegal_trap,auto,0
TP-BIT-014,CG-BIT-004,cp_grev_ctrl,c7,0
