index,tp_item,bin,test_group,marked
0,TP-BIT-036,w_tp_bit_036,gen_bit_multicycle,1
1,TP-BIT-042,w_tp_bit_042,gen_bit_random,1
2,TP-BIT-043,w_tp_bit_043,gen_bit_multicycle,1
3,TP-BTALU-001,w_tp_btalu_001,gen_btalu_basic,1
4,TP-BTALU-012,w_tp_btalu_012,gen_btalu_basic,1
5,TP-BTALU-018,w_tp_btalu_018,gen_btalu_perf_b17_xfail,1
6,TP-CMP-057,w_tp_cmp_057,gen_cmp_zcmp_events,1
7,TP-CMP-058,w_tp_cmp_058,gen_cmp_zcmp_events,1
8,TP-CSR-029,w_tp_csr_029,gen_csr_trap_setup,1
9,TP-CSR-031,w_tp_csr_031,gen_csr_trap_setup,1
10,TP-CSR-034,w_tp_csr_034,gen_csr_trap_handling,1
11,TP-CSR-085,w_tp_csr_085,gen_csr_cpuctrl,1
12,TP-CSR-090,w_tp_csr_090,gen_csr_cpuctrl,1
13,TP-CSR-100,w_tp_csr_100,gen_csr_storm,1
14,TP-DBG-003,w_tp_dbg_003,gen_dbg_irq_mask,1
15,TP-DBG-004,w_tp_dbg_004,gen_dbg_haltreq,1
16,TP-DBG-005,w_tp_dbg_005,gen_dbg_haltreq,1
17,TP-DBG-006,w_tp_dbg_006,gen_dbg_haltreq,1
18,TP-DBG-007,w_tp_dbg_007,gen_dbg_haltreq,1
19,TP-DBG-008,w_tp_dbg_008,gen_dbg_haltreq,1
20,TP-DBG-009,w_tp_dbg_009,gen_dbg_haltreq,1
21,TP-DBG-011,w_tp_dbg_011,gen_dbg_req_shape_info,1
22,TP-DBG-014,w_tp_dbg_014,gen_dbg_haltreq,1
23,TP-DBG-021,w_tp_dbg_021,gen_dbg_irq_mask_xfail,1
24,TP-DBG-030,w_tp_dbg_030,gen_dbg_ebreak,1
25,TP-DBG-046,w_tp_dbg_046,gen_dbg_step,1
26,TP-DBG-049,w_tp_dbg_049,gen_dbg_step,1
27,TP-DBG-051,w_tp_dbg_051,gen_dbg_step,1
28,TP-DBG-054,w_tp_dbg_054,gen_dbg_step,1
29,TP-DBG-061,w_tp_dbg_061,gen_dbg_irq_mask,1
30,TP-DBG-063,w_tp_dbg_063,gen_dbg_mode_misc,1
31,TP-DBG-071,w_tp_dbg_071,gen_dbg_haltreq,1
32,TP-DMEM-002,w_tp_dmem_002,gen_dmem_proto_basic,1
