rank,covergroup,plan_id,ledger,bins_referenced,coverpoints_referenced,coverpoints,manifests,manifest_bins,manifests_completed_at_this_rank,plan_anchor
1,gen_mul_ops_cg,CG-MUL-001,no,356,15,cp_funct3 (4); cp_op (5); cp_rd_x0 (2); cp_result_class (9); cp_rs1_class (9); cp_rs2_class (9); cp_same_regs (4); cp_sign_pair (4); cr_extremes (245); cr_funct3_rd_x0 (8); cr_op_rd_x0 (8); cr_op_rs1 (14); cr_op_rs2 (9); cr_op_same (6); cr_op_sign (20),3,gen_test_cmp_zcb (15); gen_test_mul_div (26); gen_test_mul_mul (327),-,gen_fcov_plan.md:536 ### CG-MUL-001: gen_cg_mul_ops
2,gen_isa_alu_reg_cg,CG-ISA-002,no,327,17,cp_eq_operands (2); cp_op (7); cp_rd_x0 (2); cp_result_class (6); cp_rs1_class (7); cp_rs2_class (7); cp_same_regs (5); cp_sign_pair (4); cp_wrap (6); cr_op_eq (14); cr_op_rd_x0 (14); cr_op_rs1 (49); cr_op_rs2 (49); cr_op_same (35); cr_op_sign (28); cr_slt_boundary (85); cr_wrap (7),1,gen_test_isa_alu (327),-,gen_fcov_plan.md:348 ### CG-ISA-002: gen_cg_isa_alu_reg
3,gen_bit_zba_zbb_ops_cg,CG-BIT-001,no,314,16,cp_eq_operands (2); cp_op (16); cp_rd_x0 (2); cp_result_class (2); cp_rs1_class (10); cp_rs2_class (7); cp_same_regs (2); cp_sign_pair (4); cp_wrap (2); cr_minmax_sign (16); cr_op_eq (23); cr_op_rd_x0 (29); cr_op_rs1 (101); cr_op_rs2 (70); cr_op_same (22); cr_shadd_wrap (6),1,gen_test_bit_ratified (314),-,gen_fcov_plan.md:831 ### CG-BIT-001: gen_cg_bit_zba_zbb_ops
4,gen_bit_count_cg,CG-BIT-002,no,199,9,cp_op (3); cp_operand (9); cp_rd_x0 (2); cp_result (6); cp_single_pos (32); cr_op_operand (27); cr_op_rd_x0 (6); cr_op_result (18); cr_op_single (96),1,gen_test_bit_ratified (199),-,gen_fcov_plan.md:854 ### CG-BIT-002: gen_cg_bit_count
5,gen_cmp_zca_cg,CG-CMP-001,no,184,10,cp_insn (26); cp_insn32_straddle (2); cp_next_len (2); cp_pc_align (2); cp_pc_inc (1); cp_rd_full (5); cr_insn_align (51); cr_insn_next (32); cr_insn_rdfull (23); cr_insn_reg3 (40),1,gen_test_cmp_zca (184),-,gen_fcov_plan.md:635 ### CG-CMP-001: gen_cg_cmp_zca
6,gen_cmp_zcmp_mv_cg,CG-CMP-007,no,161,12,cp_b2b (3); cp_equal (2); cp_hazard_src (3); cp_insn (2); cp_r1s (8); cp_r2s (8); cp_src_values (2); cp_uop_count_ok (1); cr_insn_b2b (4); cr_insn_equal (3); cr_insn_hazard (5); cr_insn_r1_r2 (120),1,gen_test_cmp_zcmp_basic (161),-,gen_fcov_plan.md:749 ### CG-CMP-007: gen_cg_cmp_zcmp_mv
7,gen_div_ops_cg,CG-MUL-003,no,149,12,cp_dividend (9); cp_divisor (10); cp_op (4); cp_rd_x0 (2); cp_result_class (6); cp_sign_pair (4); cr_div0 (20); cr_op_dividend (26); cr_op_divisor (40); cr_op_rd_x0 (8); cr_op_sign (16); cr_overflow (4),1,gen_test_mul_div (149),-,gen_fcov_plan.md:576 ### CG-MUL-003: gen_cg_div_ops
8,gen_csr_trap_setup_warl_cg,CG-CSR-002,no,147,20,cp_csr (6); cp_mie_w (5); cp_mpp_w (4); cp_mst_mie_w (1); cp_mst_mpie_w (2); cp_mst_mprv_w (1); cp_mst_tw_w (1); cp_mtvec_base_w (4); cp_mtvec_lo_w (2); cp_mtvec_mode_w (4); cp_op (6); cp_rd (2); cp_wpat (6); cr_csr_op (35); cr_csr_wpat (26); cr_mie_w_op (11); cr_mpp_op (8); cr_mst_fields (8); cr_mtvec_base_op (7); cr_mtvec_mode_lo (8),2,gen_test_csr_access (4); gen_test_csr_trap_setup (146),gen_test_csr_access; gen_test_csr_trap_setup,gen_fcov_plan.md:1223 ### CG-CSR-002: gen_cg_csr_trap_setup_warl
9,gen_isa_alu_imm_cg,CG-ISA-001,no,145,12,cp_addi_wrap (3); cp_imm_class (7); cp_op (6); cp_rd_x0 (2); cp_result_class (6); cp_rs1_class (7); cp_rs1_eq_rd (2); cp_slt_case (7); cr_op_imm (42); cr_op_rd_x0 (12); cr_op_rs1 (42); cr_slt (9),1,gen_test_isa_alu (145),-,gen_fcov_plan.md:329 ### CG-ISA-001: gen_cg_isa_alu_imm
10,gen_isa_branch_cg,CG-ISA-007,no,138,10,cp_cmp_class (9); cp_offset (2); cp_op (8); cp_taken (2); cp_target_align (2); cp_wrap (1); cr_op_align (16); cr_op_offset_taken (32); cr_op_taken_cmp (58); cr_wrap (8),2,gen_test_cmp_zca (23); gen_test_isa_cti (122),-,gen_fcov_plan.md:442 ### CG-ISA-007: gen_cg_isa_branch
